English,Chinese,Pinyin
For my American friends.,为了我的美国朋友。,wèile wǒ de měiguó péngyou 。
"For the actors, I would say that they have an extraordinary talent.",对于演员来说，我想说他们有非凡的才华。,duìyú yǎnyuán láishuō ， wǒ xiǎng shuō tāmen yǒu fēifán de cáihuá 。
"For this time, I will put myself in finery.",这一次，我要盛装打扮。,zhè yīcì ， wǒyào shèngzhuāng dǎbàn 。
For whom?,为了谁？,wèile shéi ？
Fortunately you can find an ATM there.,幸运的是，您可以在那里找到自动取款机。,xìngyùn de shì ， nín kěyǐ zài nàli zhǎodào zìdòng qǔkuǎnjī 。
"Fortunately, I still have my credit cards.",幸运的是，我的信用卡还在。,xìngyùn de shì ， wǒ de xìnyòngkǎ huán zài 。
"Fortunately, the flight has been postponed.",幸运的是，航班被推迟了。,xìngyùn de shì ， hángbān bèi tuīchí le 。
"Fortunately, they accept credit cards.",幸运的是，他们接受信用卡。,xìngyùn de shì ， tāmen jiēshòu xìnyòngkǎ 。
Francesca and Paolo fell in love.,弗朗西斯卡和保罗坠入爱河。,fúlǎngxīsī kǎ hébǎoluó zhuìrù àihé 。
Francesca fell in love with a writer.,弗朗西斯卡爱上了一位作家。,fúlǎngxīsī kǎàishàng le yīwèi zuòjiā 。
Francesca fell in love with Paolo.,弗朗西斯卡爱上了保罗。,fúlǎngxīsī kǎàishàng le bǎoluó 。
Francesco fell in love with Paola.,弗朗西斯科爱上了保拉。,fúlǎngxīsīkē àishàng le bǎolā 。
From five o’clock to seven.,从五点到七点。,cóng wǔdiǎn dào qīdiǎn 。
From whom?,从谁？,cóng shéi ？
Give me forty euros.,给我四十欧元。,gěi wǒ sìshí ōuyuán 。
Give me his number.,给我他的电话号码。,gěi wǒ tā de diànhuàhàomǎ 。
Give me some euros.,给我一些欧元。,gěi wǒ yīxiē ōuyuán 。
Glass blowing is a difficult art.,玻璃吹制是一门困难的艺术。,bōli chuīzhì shì yīmén kùnnán de yìshù 。
Go faster.,走快一点。,zǒukuài yīdiǎn 。
Good evening.,晚上好。,wǎnshàng hǎo 。
Goodbye to you.,再见了。,zàijiàn le 。
Goodbye.,再见。,zàijiàn 。
Great!,伟大的！,wěidà de ！
Half an hour is better than nothing.,半小时总比没有好。,bànxiǎoshí zǒng bǐ méiyǒu hǎo 。
Have a seat.,请坐。,qǐng zuò 。
Have you got sixteen euros?,你有十六欧元吗？,nǐ yǒu shíliù ōuyuán ma ？
Have you heard the weather forecast for the weekend?,你听过周末的天气预报吗？,nǐ tīng guò zhōumò de tiānqìyùbào ma ？
Have you seen him?,你看见他了吗？,nǐ kànjiàn tā le ma ？
Have you seen the museum gardens?,你看过博物馆花园吗？,nǐ kànguò bówùguǎn huāyuán ma ？
Have you seen the schedules for today?,你看过今天的时间表了吗？,nǐ kànguò jīntiān de shíjiānbiǎo le ma ？
Have you seen the sky today?,今天你看见天空了吗？,jīntiān nǐ kànjiàn tiānkōng le ma ？
Have you seen the weather forecast for today?,你看过今天的天气预报吗？,nǐ kànguò jīntiān de tiānqìyùbào ma ？
Have you seen the weather forecast for tomorrow?,你看过明天的天气预报吗？,nǐ kànguò míngtiān de tiānqìyùbào ma ？
He always buys many things for them.,他总是给他们买很多东西。,tā zǒngshì gěi tāmen mǎi hěnduō dōngxi 。
He began to work a long time ago.,他很久以前就开始工作了。,tā hěnjiǔyǐqián jiù kāishǐ gōngzuò le 。
He began to work alone.,他开始独自工作。,tā kāishǐ dúzì gōngzuò 。
He began to work in the 13th century.,他从13世纪开始工作。,tā cóng yīsān shìjì kāishǐ gōngzuò 。
He began to work with glass.,他开始研究玻璃。,tā kāishǐ yánjiū bōli 。
He bought a single-family house by the beach for an investment.,他在海边买了一栋独栋别墅作为投资。,tā zài hǎibiān mǎi le yīdòng dúdòng biéshù zuòwéi tóuzī 。
He called recently.,他最近打来电话。,tā zuìjìn dǎ lái diànhuà 。
He continued the family tradition.,他延续了家族传统。,tā yánxù le jiāzú chuántǒng 。
He couldn’t stay longer.,他不能再多待了。,tā bùnéng zàiduōdài le 。
He doesn’t like to travel.,他不喜欢旅行。,tā bù xǐhuan lǚxíng 。
He fell in love with her.,他爱上了她。,tā ài shàng le tā 。
He has always wanted to be a teacher.,他一直想成为一名教师。,tā yīzhí xiǎng chéngwéi yīmíng jiàoshī 。
He has two daughters.,他有两个女儿。,tā yǒu liǎnggè nǚér 。
He is always in finery.,他总是衣冠楚楚。,tā zǒngshì yīguānchǔchǔ 。
He is the most famous writer in Italian literature.,他是意大利文学界最著名的作家。,tā shì yìdàlì wénxuéjiè zuì zhùmíng de zuòjiā 。
He is the owner.,他是业主。,tā shì yèzhǔ 。
He is worried for her.,他很担心她。,tā hěn dānxīn tā 。
He liked it.,他喜欢它。,tā xǐhuan tā 。
He liked the article that you wrote.,他喜欢你写的文章。,tā xǐhuan nǐ xiě de wénzhāng 。
He likes it very much.,他非常喜欢。,tā fēicháng xǐhuan 。
He likes Italy.,他喜欢意大利。,tā xǐhuan yìdàlì 。
He likes their home a lot.,他非常喜欢他们的家。,tā fēicháng xǐhuan tāmen de jiā 。
He plays rather well.,他打得相当不错。,tā dǎ dé xiāngdāng bùcuò 。
He prefers to sit next to the pool.,他更喜欢坐在泳池边。,tā gēng xǐhuan zuòzài yǒngchí biān 。
He prefers to stay at home.,他更喜欢呆在家里。,tā gēng xǐhuan dāi zài jiālǐ 。
He recommended to rest.,他建议休息。,tā jiànyì xiūxi 。
He returned straight home.,他直接回家了。,tā zhíjiē huíjiā le 。
He said that he will do an interview.,他说他将接受采访。,tā shuō tā jiàng jiēshòu cǎifǎng 。
He said that nothing’s broken.,他说没有任何损坏。,tā shuō méiyǒu rènhé sǔnhuài 。
He said that the downhill was thrilling.,他说下坡很惊险。,tā shuō xiàpō hěn jīngxiǎn 。
He said that your ski class was thrilling.,他说你们的滑雪课很刺激。,tā shuō nǐmen de huáxuě kè hěn cìjī 。
He said that your ski class was tiring.,他说你的滑雪课很累。,tā shuō nǐ de huáxuě kè hěn lěi 。
He said that your ski instructor was very good.,他说你们的滑雪教练很好。,tā shuō nǐmen de huáxuě jiàoliàn hěn hǎo 。
He says that the traffic is heavy.,他说交通很拥挤。,tā shuō jiāotōng hěn yōngjǐ 。
He taught me the art of glass blowing.,他教我吹制玻璃的艺术。,tājiào wǒ chuīzhì bōli de yìshù 。
He taught me to respect the environment.,他教我尊重环境。,tājiào wǒ zūnzhòng huánjìng 。
He taught me to use recycled materials.,他教我使用回收材料。,tājiào wǒ shǐyòng huíshōu cáiliào 。
He wants to take a tour of the city.,他想要游览这座城市。,tā xiǎngyào yóulǎn zhèzuò chéngshì 。
He was the owner.,他是业主。,tā shì yèzhǔ 。
He was worried for him.,他很为他担心。,tā hěn wéi tā dānxīn 。
He will do a blog tomorrow.,他明天将写博客。,tā míngtiān jiàng xiě bókè 。
He would really like to teach art.,他真的很想教艺术。,tā zhēnde hěnxiǎngjiào yìshù 。
He’s a great artisan!,他是一位伟大的工匠！,tā shì yīwèi wěidà de gōngjiàng ！
He’s a teacher at the University.,他是大学的老师。,tā shì dàxué de lǎoshī 。
He’s a very important customer.,他是一个非常重要的客户。,tā shì yīgè fēicháng zhòngyào de kèhù 。
He’s also a friend of mine.,他也是我的朋友。,tā yě shì wǒ de péngyou 。
He’s an ecological artisan!,他是一位生态工匠！,tā shì yīwèi shēngtài gōngjiàng ！
He’s an ecological plumber!,他是一名生态水管工！,tā shì yīmíng shēngtài shuǐguǎn gōng ！
He’s an engineer.,他是一名工程师。,tā shì yīmíng gōngchéngshī 。
He’s coming in a few minutes.,他几分钟后就来。,tā jǐfēnzhōng hòu jiù lái 。
He’s coming to visit me.,他要来看我。,tā yào láikàn wǒ 。
He’s excited to meet his relatives.,他很高兴见到他的亲戚。,tā hěn gāoxìng jiàndào tā de qīnqi 。
He’s full of himself.,他充满了自我。,tā chōngmǎn le zìwǒ 。
He’s going to the restaurant.,他要去餐厅。,tā yào qù cāntīng 。
He’s in the kitchen of the restaurant today.,他今天在餐厅的厨房里。,tā jīntiān zài cāntīng de chúfáng lǐ 。
He’s in the kitchen with the chef today.,他今天和厨师一起在厨房里。,tā jīntiān hé chúshī yīqǐ zài chúfáng lǐ 。
He’s looking for a position as a teacher.,他正在寻找教师职位。,tā zhèngzài xúnzhǎo jiàoshī zhíwèi 。
He’s not here at the moment.,他现在不在这里。,tā xiànzài bù zài zhèlǐ 。
He’s not leaving without his girlfriend.,他不会没有女朋友就走。,tā bùhuì méiyǒu nǚpéngyou jiù zǒu 。
He’s over there.,他在那边。,tā zài nàbian 。
He’s proud to live here.,他很自豪能住在这里。,tā hěn zìháo néngzhù zài zhèlǐ 。
"Hello, miss.",你好，小姐。,nǐhǎo ， xiǎojie 。
Help!,帮助！,bāngzhù ！
Her assistant called this morning.,今天早上她的助理打来电话。,jīntiān zǎoshang tā de zhùlǐ dǎ lái diànhuà 。
Her daughter still lives here.,她的女儿仍然住在这里。,tā de nǚér réngrán zhù zài zhèlǐ 。
Her family had an inn in the mountains.,她家在山里有一家客栈。,tājiā zài shānlǐ yǒu yījiā kèzhàn 。
Her father is a singer.,她的父亲是一名歌手。,tā de fùqīn shì yīmíng gēshǒu 。
Her father was a singer.,她的父亲是一名歌手。,tā de fùqīn shì yīmíng gēshǒu 。
Her father will do an interview.,她的父亲将接受采访。,tā de fùqīn jiàng jiēshòu cǎifǎng 。
Her friends introduced her to a chef.,她的朋友给她介绍了一位厨师。,tā de péngyou gěi tā jièshào le yīwèi chúshī 。
Her friends introduced her to her husband.,她的朋友把她介绍给她的丈夫。,tā de péngyou bǎ tā jièshào gěi tā de zhàngfu 。
Her friends traveled to a village.,她的朋友们去了一个村庄。,tā de péngyou men qù le yīgè cūnzhuāng 。
Her husband is an engineer in an Italian company.,她的丈夫是一家意大利公司的工程师。,tā de zhàngfu shì yījiā yìdàlì gōngsī de gōngchéngshī 。
Her husband lives in Cortona.,她的丈夫住在科尔托纳。,tā de zhàngfu zhù zài kēěrtuō nà 。
Her husband’s sister is a local chef.,她丈夫的妹妹是当地的厨师。,tā zhàngfu de mèimei shì dāngdì de chúshī 。
Her paintings are excellent.,她的画非常出色。,tā de huà fēicháng chūsè 。
Her paintings are of a small village.,她的画描绘的是一个小村庄。,tā de huà miáohuì de shì yīgè xiǎo cūnzhuāng 。
Her parents introduced her to a chef.,她的父母给她介绍了一位厨师。,tā de fùmǔ gěi tā jièshào le yīwèi chúshī 。
Her photos are exciting.,她的照片令人兴奋。,tā de zhàopiàn lìngrénxīngfèn 。
Here are the notes for the meeting.,以下是会议记录。,yǐxià shì huìyìjìlù 。
Here is a chance to see the local sights.,这是参观当地景点的机会。,zhèshì cānguān dāngdì jǐngdiǎn de jīhuì 。
Here is some bread and some cheese.,这是一些面包和一些奶酪。,zhèshì yīxiē miànbāo hé yīxiē nǎilào 。
Here is the right size for you.,这是适合您的尺寸。,zhèshì shìhé nín de chǐcùn 。
Here is your checking account number.,这是您的支票帐号。,zhè shì nín de zhīpiào zhànghào 。
Here you can find whatever you desire.,在这里你可以找到你想要的任何东西。,zài zhèlǐ nǐ kěyǐ zhǎodào nǐ xiǎngyào de rènhé dōngxi 。
"Here, one can go to Sicily by ferryboat.",在这里，可以乘坐渡船前往西西里岛。,zài zhèlǐ ， kěyǐ chéngzuò dùchuán qiánwǎng xīxīlǐdǎo 。
Here’s a city map.,这是一张城市地图。,zhèshì yīzhāng chéngshìdìtú 。
Here’s the check.,这是支票。,zhèshì zhīpiào 。
Here’s the key of the room.,这是房间的钥匙。,zhèshì fángjiān de yàoshi 。
Here’s the number of an exceptional doctor.,这是一位杰出医生的电话号码。,zhèshì yīwèi jiéchū yīshēng de diànhuàhàomǎ 。
Here’s your coffee.,这是你的咖啡。,zhè shì nǐ de kāfēi 。
His aunt was a champion skier.,他的姨妈是一位滑雪冠军。,tā de yímā shì yīwèi huáxuě guànjūn 。
His coffee is hot and it’s very good.,他的咖啡很热，而且非常好喝。,tā de kāfēi hěn rè ， érqiě fēicháng hǎohē 。
His coffee isn’t cold.,他的咖啡不冷。,tā de kāfēi bùlěng 。
His grandmother is the sister of my grandfather.,他的祖母是我祖父的妹妹。,tā de zǔmǔ shì wǒ zǔfù de mèimei 。
His grandparents got married in the United States.,他的祖父母在美国结婚了。,tā de zǔfùmǔ zài měiguó jiéhūn le 。
His grandparents moved to the United States.,他的祖父母搬到了美国。,tā de zǔfùmǔ bāndào le měiguó 。
His sister’s husband is a local chef.,他姐姐的丈夫是当地的厨师。,tā jiějie de zhàngfu shì dāngdì de chúshī 。
His wife is Swiss.,他的妻子是瑞士人。,tā de qīzi shì ruìshìrén 。
His wife’s brother is a local chef.,他妻子的兄弟是当地的厨师。,tā qīzi de xiōngdì shì dāngdì de chúshī 。
How are you feeling?,你感觉怎么样？,nǐ gǎnjué zěnmeyàng ？
How are you?,你好吗？,nǐhǎo ma ？
How are you?,你好吗？,nǐhǎo ma ？
How come?,怎么会？,zěnme huì ？
How did the trip go?,旅行进行得怎么样？,lǚxíng jìnxíng dé zěnmeyàng ？
How is the neighborhood by the beach?,海滩附近的街区怎么样？,hǎitān fùjìn de jiēqū zěnmeyàng ？
How is the neighborhood?,邻居怎么样？,línjū zěnmeyàng ？
How is the traffic in the neighborhood?,小区交通状况如何？,xiǎoqū jiāotōngzhuàngkuàng rúhé ？
How long does a cold last?,感冒会持续多久？,gǎnmào huì chíxù duōjiǔ ？
How long will the meeting last?,会议将持续多长时间？,huìyì jiàng chíxù duōchángshíjiān ？
How many children do you have?,你有几个孩子？,nǐ yǒu jǐge háizi ？
How many dollars do you have?,你有多少美元？,nǐ yǒu duōshǎo měiyuán ？
How many kilometers are there?,有多少公里？,yǒu duōshǎo gōnglǐ ？
How many kilometers?,多少公里？,duōshǎo gōnglǐ ？
How many people are there?,有多少人？,yǒu duōshǎo rén ？
How much do I owe you?,我欠你多少？,wǒ qiàn nǐ duōshǎo ？
How much do you have?,你有多少？,nǐ yǒu duōshǎo ？
How much does it cost?,它要多少钱？,tā yào duōshǎo qián ？
How much is a beer?,啤酒多少钱？,píjiǔ duōshǎo qián ？
How much money do you have?,你有多少钱？,nǐ yǒu duōshǎo qián ？
How much time is he spending over there?,他在那里花了多少时间？,tā zài nàli huā le duōshǎo shíjiān ？
How old are your children?,你的孩子多大了？,nǐ de háizi duōdà le ？
How old is your son?,你儿子几岁了？,nǐ érzi jǐsuì le ？
How was the food?,食物味道如何？,shíwù wèidao rúhé ？
How was the traffic today?,今天的交通怎么样？,jīntiān de jiāotōng zěnmeyàng ？
